uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:2sa4diyls6vh4axxxscmzb4a/app.bsky.feed.post/3lgrksjc62s23,bafyreiayo5cvd3zmms56qtumcxmi4ze7ozv74tzxnw7ywj5uqbgnb4uifa,"📣 BdF em: Tudo que você precisa saber que saiu hoje (27)! 🚩 
 
🇧🇷 Quaest: em meio à onda de fake news sobre Pix, desaprovação do governo Lula supera aprovação
 
🇮🇱 Israel publica documentos do julgamento de Adolf Eichmann, um dos responsáveis pelo extermínio dos judeus no Holocausto",2025-01-28T03:57:27.039Z,1,0,0,2025-01-28T03:57:27.757Z,ofernandolobo.bsky.social,Fernando Lobo,did:plc:2sa4diyls6vh4axxxscmzb4a
at://did:plc:ofwbn675r3wh73vohzxev5yi/app.bsky.feed.post/3lgrh43ryws2m,bafyreickjcpnvcd6kcd7tefvmepq77u4o7qkb6dxnxk27i3f6exwzkkw2m,"5) Pesquisa Quaest mostra que Fake News do Pix fez cair a aprovação do governo Lula.

6) Alexandre de Moraes nega soltura de agente federal acusado de se infiltrar na equipe do Lula pra ajudar no golpe de Estado.

7) Neymar pode voltar para o Santos.

By @vmbetiol.bsky.social",2025-01-28T02:51:13.453Z,0,0,0,2025-01-28T02:51:14.950Z,marcaopuzzy.bsky.social,Marcão Puzzi,did:plc:ofwbn675r3wh73vohzxev5yi
at://did:plc:kicuy3plnwib6ragtjpacb3l/app.bsky.feed.post/3lgrgz3z2ss23,bafyreibja3snd4wnglukxgkmqmywva56xuyyyksclxszg7clah6gtc7b5e,"5) Pesquisa Quaest mostra que Fake News do Pix fez cair a aprovação do governo Lula.

6) Alexandre de Moraes nega soltura de agente federal acusado de se infiltrar na equipe do Lula pra ajudar no golpe de Estado.

7) Neymar pode voltar para o Santos.

Resumo por Vinicios Betiol.",2025-01-28T02:49:33.011Z,0,0,1,2025-01-28T02:49:36.258Z,6u70.bsky.social,P🅰️Ú-B R 🅰️ S I L,did:plc:kicuy3plnwib6ragtjpacb3l
at://did:plc:uuv5ffalcjxergkdjgl4jo74/app.bsky.feed.post/3lgrghr6uzk2c,bafyreifmyp5plkqpmidrn7nrv55hcrxgc3fcrb2qelzhxnval3psyxiz3u,"'É mais um fio da navalha para a gestão que perdeu a guerra para as fake news do Pix, está se enrolando com preços de alimentos e vive espremido entre mercado e PT' 

✍️ Leia a coluna completa no site do Estadão 

www.estadao.com.br/politica/eli...",2025-01-28T02:39:48.854Z,0,0,0,2025-01-28T02:39:51.372Z,estadao.com.br,Estadão,did:plc:uuv5ffalcjxergkdjgl4jo74
at://did:plc:uupfxffgfof4pejbuc74ncw3/app.bsky.feed.post/3lgrcpuct4c2g,bafyreigd4nithj4qupn375gnzszmleqai6c6gyzfjrdlulnttqpxlqqc4u,"Meu pai me mostrando vídeo do chupetinha com eles tentado dar golpe do pix e ele quase acreditando. 
A fábrica de fake News virando pro lado deles também.",2025-01-28T01:32:47.997Z,1,0,6,2025-01-28T01:32:48.170Z,guimaraujo.bsky.social,"Guilherme, Gui, Guil, Guilbert",did:plc:uupfxffgfof4pejbuc74ncw3
at://did:plc:mmt76pq7cxhvm6og464nx4zu/app.bsky.feed.post/3lgr5rjkaat2i,bafyreihdwtscf7l6fgu5a5reglfh6aj6uyhcksvdu6cslxk7ntvm7f4lwi,"Queda na popularidade de Lula tem relação com 'fake news' do Pix, avaliam fontes do governo",2025-01-28T00:04:12.848Z,0,0,0,2025-01-28T00:04:17.353Z,pabloalmada.bsky.social,Pablo Almada,did:plc:mmt76pq7cxhvm6og464nx4zu
at://did:plc:67dkmdkaxqo3vwvy7goem2cl/app.bsky.feed.post/3lgqy2wdjq22q,bafyreieet7gvjrimji3lwjc37gped4qmtjxg22qiwerv2a76cjpeuncgci,"Quaest: a fake news do pix e a aprovação de Lula; PF apura agressões a deportados dos EUA

DCM TV

www.youtube.com/live/oMJkwte...",2025-01-27T22:22:08.054Z,0,0,0,2025-01-27T22:22:09.948Z,raquel-moreno.bsky.social,Raquel Moreno,did:plc:67dkmdkaxqo3vwvy7goem2cl
at://did:plc:r5yuxolmov4wewiiaxuzotkh/app.bsky.feed.post/3lgqpabwabs2w,bafyreiaxnzziy2cfyllghzekbww324e6zuivsnkj2lxoejnqqnx7imyuce,Nessa hora o gabinete do ódio esfrega as mãos sorrindo satisfeito porque a estratégia das fake news do Pix deu certo. Qual o próximo passo? Qual a próxima pauta bomba?,2025-01-27T19:44:04.293Z,0,0,1,2025-01-27T19:44:04.857Z,mmiguel78.bsky.social,MMiguel,did:plc:r5yuxolmov4wewiiaxuzotkh
at://did:plc:wx7vbeyhzjh3q546ajdxjolw/app.bsky.feed.post/3lgqb2wwut22s,bafyreie6kkk44jxfexziu2z2f46uxmrr5hh3yoz7fu3ewzsol437pawblu,Pesquisa Quaest normaliza a fake news e manipula ao falar em “polêmica do Pix” - www.diariodocentrodomundo.com.br/pesquisa-qua...,2025-01-27T15:30:32.629Z,4,9,15,2025-01-27T15:30:39.556Z,dcmonline.bsky.social,Diário do Centro do Mundo,did:plc:wx7vbeyhzjh3q546ajdxjolw
at://did:plc:ydhhyuw7fl3tfnzlo65xvndq/app.bsky.feed.post/3lgq7pmzq7h2c,bafyreia2w4i4ytrop2t54ogg7xbrv2wf3gsgrltpnqfcnqukqkxdtlhv6u,"🚨ATENÇÃO: Lula tem queda de popularidade na 1ª pesquisa após fake news da taxação do PIX

🟢Positiva: 31% (-2)
🟡Regular: 28% (-6)
🔴Negativa: 37% (+6)
❔Não sabe: 4% (+2)

🟢Aprova: 49% (-4)
🔴Desaprova: 51% (+4)

🗓️23-26/1
📰Quaest

ℹ️Pesquisa anterior em dezembro.",2025-01-27T15:06:24.829Z,1,0,1,2025-01-27T15:06:19.760Z,conj-politica24.bsky.social,Conjuntura Política Insights,did:plc:ydhhyuw7fl3tfnzlo65xvndq
at://did:plc:jcembsosdhrfcejvsjm6shtb/app.bsky.feed.post/3lgq7mhm2vi2l,bafyreiew5uqxvpiars43glchzbmohakzhxekualgbhtfw5cqr2lpak2wou,"Na ressaca do Pix, Lula reclama de ardil que o PT…

Daniel Pereira Numa reação à maior derrota política sofrida em seu atual mandato, o presidente Lula determinou à Advocacia-Geral da União (AGU) que tome providências judiciais contra os propagadores de “fake news” — aqueles que divulgaram a…",2025-01-27T15:04:31Z,0,0,0,2025-01-27T15:04:33.451Z,acrenoticias.bsky.social,Acre Notícias,did:plc:jcembsosdhrfcejvsjm6shtb
at://did:plc:6rwrm35yen5o4lqyfcqbpx72/app.bsky.feed.post/3lgq4dncwkk2u,bafyreicwl2mug7x3j6wmvjgvqrr6qjst3nrwyd3evex3tyxxhgu2qoh5vi,Planalto culpa fake news sobre Pix por queda na avaliação de Lula agendadopoder.com.br/planalto-cul...,2025-01-27T14:05:55.818Z,0,0,0,2025-01-27T14:05:58.986Z,agendadopoder.bsky.social,,did:plc:6rwrm35yen5o4lqyfcqbpx72
at://did:plc:s6qk5lq3q5wieadfy2zhpjhw/app.bsky.feed.post/3lgq454fqrk2a,bafyreiehjy53qecnh3tv7wgxnjk3apvldao3ouc4jb7s2o4dwdo5zcafum,Espero que o governo veja que essa crescente desaprovação não é só por causa do PIX e das fake news. A grande maioria das famílias estão endividadas e não vê melhora nas suas vidas com o atual governo. Esse é o ponto.,2025-01-27T14:02:16.758Z,0,0,1,2025-01-27T14:02:17.553Z,mg1405.bsky.social,Maurício,did:plc:s6qk5lq3q5wieadfy2zhpjhw
