uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
atdidplckmy3mkgugqzte2csn7n7n5skappbskyfeedpost3lgveib3xac2e,bafyreiahyvwx2a4mgxiz2yaghtp64ztagj45ng7v2zqtip3mozblkikhgi,▶️ Volume transações via Pix volta média histórica fake news taxação dias 16 27 janeiro número transferências totalizou 1923 bilhões alta 024 relação período novembro UltimasNoticias CapitalNews wwwcapitalnewscombreconomiaea,20250129T161459405Z,0,0,0,20250129T161524350Z,capitalnewsbskysocial,Jornal Capital News,didplckmy3mkgugqzte2csn7n7n5sk
atdidplco5bbiiqk2p3yby7ufhpyqvjsappbskyfeedpost3lgub7whiyk2g,bafyreicp2ds2lks3bxgappnopu7alxslrznmndynu4luz4ickgpakg45bi,aconteceu caso taxação blusinhas fez população acreditar mais governo Dá pra confiar governo vai monitorar PIX trabalhador mais vai taxar vai monitorar vai taxar,20250129T054358851Z,0,0,0,20250129T054400156Z,kenzotenmabskysocial,Dr Kenzo Tenma,didplco5bbiiqk2p3yby7ufhpyqvjs
atdidplcztlva54tddon2j3sckzalppfappbskyfeedpost3lgtivjjkyk2t,bafyreieaooy7nhghpwd5eq7y5mukqrb6wwrhmbuu2njf5efhozu6bz74ce,PIX onda fake news falsa taxação Pix volume transações voltou aproximarse média histórica terceira semana janeiro Entenda trkebccombrZQ4bb,20250128T222839879Z,1,46,179,20250128T222842452Z,agenciabrasilebccombr,Agência Brasil,didplcztlva54tddon2j3sckzalppf
atdidplcdrxaidsahy6i5p3kpyz6b5hwappbskyfeedpost3lgtimcvgsc2v,bafyreiehdlnkcw2fveiwmupqwjuymofidg2kk7jlbzdlzbdlgvnlmtg6ai,onda fake news suposta taxação volume transações via Pix começa recuperar wwwplantaobrasilnetnewsaspnID,20250128T222330998Z,1,29,72,20250128T221606550Z,plantaobrasilbskysocial,Plantão Brasil,didplcdrxaidsahy6i5p3kpyz6b5hw
atdidplct77oyn7ryghnudsbf6cqskytappbskyfeedpost3lgt77fagbf2t,bafyreifvzirgctre5ae7jxk3gxckr5rga4nb6cmiw6rmgevjh3hogvenca,Transações Pix voltam aumentar segunda metade janeiro onda fake news falsa taxação Pix volume transações voltou aproximarse média histórica terceira semana janeiro dias 16 27 mês número de…,20250128T193512Z,0,0,0,20250128T193513847Z,clayton2024bskysocial,,didplct77oyn7ryghnudsbf6cqskyt
atdidplcxoi6m74tlrbzhpmvufyz6eq2appbskyfeedpost3lgsror34hk2r,bafyreicchkprslty7nyfhx27uxoxgbwg6muhsa22ophkqksdiuccafnrom,salve Tarcísio taxação pix chupetinha passaram impunes Significa vai repetir intensificar,20250128T153316840Z,2,1,14,20250128T153321154Z,ludmilapavl1bskysocial,Ludmila Cavalcanti 🚩,didplcxoi6m74tlrbzhpmvufyz6eq2
atdidplc2wouibut4dsaod3ur2toeutqappbskyfeedpost3lgr6pjvmcs2x,bafyreihgxydlsugpdvpldmr53mcxzntyepmwx2qs6epzwtx27lfsufngpi,acha povo tava preocupado taxação Pix tá perdido claro transação individual seria taxada vocês acham pipoqueiro recebe via maquininha PagSeguro tinha razão pensar ia cair malha fina Claro tinha,20250128T002102105Z,1,0,3,20250128T002102564Z,jesustavocsbskysocial,Jesus Cristo™,didplc2wouibut4dsaod3ur2toeutq
atdidplcteuhzlflpzspsbfxeky7tcjmappbskyfeedpost3lgqc4vzxds2i,bafyreihfdm2tvqybol7hz2r7wdvy5obfcop2r4qw5aw5325xyzpsv2pqgu,Pânico moral mamadeira piproca taxação Pix,20250127T154932517Z,0,0,5,20250127T154934348Z,rodrigomokeponbskysocial,Rodrigo Mokepon,didplcteuhzlflpzspsbfxeky7tcjm
atdidplcydhhyuw7fl3tfnzlo65xvndqappbskyfeedpost3lgq7qo54sh27,bafyreif36rcbrodtxmz5omuowa3evtxvqyxinl42ikoxic6o2j2yiepulm,ℹ️Fake news taxação PIX deficiente comunicação governo contribuem queda 66 afirmam governo errou questão PIX 19 acertou 53 afirmam comunicação péssima 18 ótima 23 regular,20250127T150659568Z,0,0,0,20250127T150654251Z,conjpolitica24bskysocial,Conjuntura Política Insights,didplcydhhyuw7fl3tfnzlo65xvndq
atdidplcydhhyuw7fl3tfnzlo65xvndqappbskyfeedpost3lgq7pmzq7h2c,bafyreia2w4i4ytrop2t54ogg7xbrv2wf3gsgrltpnqfcnqukqkxdtlhv6u,🚨ATENÇÃO Lula queda popularidade 1ª pesquisa fake news taxação PIX 🟢Positiva 31 2 🟡Regular 28 6 🔴Negativa 37 6 ❔Não sabe 4 2 🟢Aprova 49 4 🔴Desaprova 51 4 🗓️23261 📰Quaest ℹ️Pesquisa anterior dezembro,20250127T150624829Z,1,0,1,20250127T150619760Z,conjpolitica24bskysocial,Conjuntura Política Insights,didplcydhhyuw7fl3tfnzlo65xvndq
